canonical_drug_id,drug_name,assay,match_type,similarity,predicted_label
1441,AZD2014,clearance_microsome_az,no_match,0.3411764705882353,7
1441,AZD2014,cyp2c9_substrate_carbonmangels,no_match,0.225,0
1441,AZD2014,cyp2c9_veith,no_match,0.30666666666666664,0
1441,AZD2014,cyp2d6_substrate_carbonmangels,no_match,0.225,1
1441,AZD2014,cyp2d6_veith,no_match,0.30666666666666664,0
1441,AZD2014,cyp3a4_substrate_carbonmangels,no_match,0.225,0
1441,AZD2014,cyp3a4_veith,no_match,0.30666666666666664,0
1441,AZD2014,dili,no_match,0.21,1
1441,AZD2014,half_life_obach,no_match,0.22826086956521738,6
1441,AZD2014,herg,no_match,0.22826086956521738,1
1441,AZD2014,hia_hou,no_match,0.21333333333333335,1
1441,AZD2014,ld50_zhu,no_match,0.265625,2
1441,AZD2014,lipophilicity_astrazeneca,analog,0.8,2
1441,AZD2014,pgp_broccatelli,no_match,0.2375,0
1441,AZD2014,ppbr_az,no_match,0.27586206896551724,99
1441,AZD2014,solubility_aqsoldb,no_match,0.2235294117647059,-1
1441,AZD2014,vdss_lombardo,no_match,0.23863636363636365,2
2096,VX-11e,ames,no_match,0.23170731707317074,1
2096,VX-11e,bbb_martins,no_match,0.25,1
2096,VX-11e,bioavailability_ma,no_match,0.2413793103448276,1
2096,VX-11e,caco2_wang,no_match,0.24299065420560748,-4
2096,VX-11e,clearance_hepatocyte_az,exact,1.0,12
2096,VX-11e,clearance_microsome_az,exact,1.0,25
2096,VX-11e,cyp2c9_substrate_carbonmangels,no_match,0.2336448598130841,0
2096,VX-11e,cyp2c9_veith,no_match,0.2755102040816326,1
2096,VX-11e,cyp2d6_substrate_carbonmangels,no_match,0.2336448598130841,0
2096,VX-11e,cyp2d6_veith,no_match,0.2755102040816326,0
2096,VX-11e,cyp3a4_substrate_carbonmangels,no_match,0.2336448598130841,1
2096,VX-11e,cyp3a4_veith,no_match,0.2727272727272727,1
2096,VX-11e,dili,no_match,0.2413793103448276,1
2096,VX-11e,half_life_obach,no_match,0.2336448598130841,22
2096,VX-11e,herg,no_match,0.22321428571428573,1
2096,VX-11e,hia_hou,no_match,0.24691358024691357,1
2096,VX-11e,ld50_zhu,no_match,0.2823529411764706,2
2096,VX-11e,lipophilicity_astrazeneca,no_match,0.29896907216494845,3
2096,VX-11e,pgp_broccatelli,no_match,0.21978021978021978,0
2096,VX-11e,ppbr_az,no_match,0.2978723404255319,95
2096,VX-11e,solubility_aqsoldb,no_match,0.24,-1
2096,VX-11e,vdss_lombardo,no_match,0.2336448598130841,3
1922,Cediranib,ames,no_match,0.2894736842105263,0
1922,Cediranib,bbb_martins,no_match,0.35365853658536583,1
