thyroid_selective_rank,drug_name,canonical_drug_id,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ranking_layer,thyroid_selective_score,ensemble_score,mean_pred_ln_ic50,thyroid_mean_ln_ic50,pancancer_mean_ln_ic50,selectivity_delta_ln_ic50,thyroid_sensitive_rate,thyroid_context_score,broad_cytotoxic_flag,broad_cytotoxic_penalty,thyroid_observed_cell_lines,pancancer_cell_lines,pancancer_tcga_types
11,AZD2014,1441,CNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,MTOR,PI3K/MTOR signaling,screened_candidate,screened_selectivity_candidate,0.7375213675213675,-2.5965310434500375,2.5965310434500375,2.4239170833333334,2.1336270695035457,-0.2902900138297877,0.8333333333333334,0.8500000000000001,False,0.0,12,705,30
12,VX-11e,2096,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,MAPK1,ERK MAPK signaling,screened_candidate,screened_selectivity_candidate,0.7221367521367521,-2.7656555573145547,2.7656555573145547,2.9458624,2.705976391906283,-0.23988600809371707,0.7333333333333333,0.8500000000000001,False,0.0,15,939,31
13,Cediranib,1922,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,FLT1;FLT2;FLT3;FLT4;KDR;KIT;PDGFRB,RTK signaling,indication_expansion,screened_selectivity_candidate,0.7216239316239317,-2.609502963721752,2.609502963721752,2.64335825,2.265800651804671,-0.37755759819532875,0.8125,0.9500000000000001,False,0.0,16,942,31
14,Podophyllotoxin bromide,1825,COc1cc(C2c3cc4c(cc3C(Br)C3COC(=O)C23)OCO4)cc(OC)c1OC,,Unclassified,screened_candidate,screened_selectivity_candidate,0.7183760683760684,-0.40230650703112286,0.40230650703112286,-0.57506275,-0.4444528638297872,0.13060988617021274,1.0,0.0,False,0.0,12,705,30
15,OSI-027,1594,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,MTOR,PI3K/MTOR signaling,screened_candidate,screened_selectivity_candidate,0.6930769230769231,-2.5971290320158005,2.5971290320158005,2.9309724375,2.55830531779661,-0.3726671197033897,0.75,0.8500000000000001,False,0.0,16,944,31
16,PLX-4720,1036,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,BRAF;KDR,ERK MAPK signaling,screened_candidate,thyroid_context_supported,0.6866666666666666,-3.5410411059856415,3.5410411059856415,4.069937125,4.2121921619047615,0.1422550369047615,0.5,0.8500000000000001,False,0.0,16,945,31
17,Lestaurtinib,1024,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,FLT3;JAK2;NTRK1;NTRK2;NTRK3,Other kinases,screened_candidate,screened_selectivity_candidate,0.6631623931623931,-0.21199381141923368,0.21199381141923368,0.1172835,-0.015120164339419971,-0.13240366433941997,1.0,0.8500000000000001,False,0.2,16,931,31
18,AZD4547,1786,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,FGFR1;FGFR2;FGFR3,RTK signaling,indication_expansion,screened_selectivity_candidate,0.6472649572649573,-3.215532287955284,3.215532287955284,3.1525804375,2.7184456839872744,-0.4341347535127258,0.8125,0.9500000000000001,False,0.0,16,943,31
19,AZD8055,1059,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,MTOR,PI3K/MTOR signaling,screened_candidate,screened_selectivity_candidate,0.6447863247863248,-0.26585495764655726,0.26585495764655726,0.1678127857142857,-0.03658903830369357,-0.20440182401797927,1.0,0.8500000000000001,False,0.2,14,731,30
20,BMS-536924,1091,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,IGF1R;IR,IGF1R signaling,screened_candidate,screened_selectivity_candidate,0.6397435897435897,-2.057505413889885,2.057505413889885,2.15503,2.1094579532908706,-0.0455720467091294,0.9375,0.0,False,0.0,16,942,31
21,Foretinib,2040,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,EGFR;FGFR1;FLT4;HGF;KDR;MET;PDGFR;RON;TIE2,RTK signaling,screened_candidate,screened_selectivity_candidate,0.6353846153846154,-1.427635671570897,1.427635671570897,1.0319998750000001,0.9096075901814301,-0.12239228481857001,1.0,0.8500000000000001,False,0.2,16,937,31
22,AZ960,1250,Cc1cc(Nc2nc(NC(C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,JAK2;JAK3,Other kinases,screened_candidate,screened_selectivity_candidate,0.6262393162393163,-2.6414247155189514,2.6414247155189514,2.1866472142857143,1.8925642072892939,-0.2940830069964204,0.8571428571428571,0.3,False,0.0,14,878,31
